Image,x,y,w,h,1/Bh,1/Bw,1/Bd,Ch,Cw,Cb,midas_max,midas_max_relative,Target
image1027,116.38909912109375,132.8046112060547,19.077911376953125,16.25006103515625,0.0634768009185791,0.07452309131622314,0.06922064502077056,0.1,0.1,0.1,21.327936,0.2861868,1.7498624324798584
image1029,132.53494262695312,132.8471221923828,18.72071075439453,18.090118408203125,0.07066452503204346,0.07312777638435364,0.07190669919042426,0.1,0.1,0.1,22.111076,0.33299664,1.5596154928207397
image103,130.9150848388672,132.8038330078125,18.107177734375,22.03612518310547,0.08607861399650574,0.07073116302490234,0.07877951894501116,0.1,0.1,0.1,30.252193,0.5155179,1.3016608953475952
image1030,84.0047607421875,132.8150177001953,29.851165771484375,25.9326171875,0.10129928588867188,0.11660611629486084,0.10922117852991123,0.1,0.1,0.1,22.151905,0.44226035,1.098743200302124
image1031,128.1295928955078,132.69619750976562,10.684661865234375,8.13970947265625,0.03179574012756348,0.04173696041107178,0.03710082852588957,0.1,0.1,0.1,11.9167385,0.1616865,2.932664394378662
image1032,126.48800659179688,132.83628845214844,11.150726318359375,9.847869873046875,0.038468241691589355,0.04355752468109131,0.041091748412463616,0.1,0.1,0.1,12.532562,0.15697439,2.2563629150390625
image1033,137.43251037597656,132.827392578125,16.749114990234375,14.174224853515625,0.05536806583404541,0.06542623043060303,0.060606164466007716,0.1,0.1,0.1,21.123793,0.32676142,2.0462987422943115
image1036,88.99523162841797,132.54705810546875,36.0126953125,30.95794677734375,0.12092947959899902,0.14067459106445312,0.13117408205746253,0.1,0.1,0.1,33.67685,0.5326293,0.977948009967804
image1037,161.02745056152344,132.75027465820312,33.60272216796875,28.13666534423828,0.10990884900093079,0.13126063346862793,0.1210564103781681,0.1,0.1,0.1,27.487156,0.48087323,1.0763709545135498
image1038,128.95518493652344,132.85818481445312,16.139373779296875,14.06591796875,0.05494499206542969,0.06304442882537842,0.05913354445231714,0.1,0.1,0.1,16.001629,0.21516332,1.885164499282837
image1039,142.81985473632812,132.72328186035156,13.91558837890625,12.190399169921875,0.047618746757507324,0.05435776710510254,0.05109947107068811,0.1,0.1,0.1,17.079311,0.2784306,2.5791540145874023
image104,126.47948455810547,132.70779418945312,11.202774047851562,8.25262451171875,0.03223681449890137,0.043760836124420166,0.03843320821467376,0.1,0.1,0.1,9.980224,0.13794772,2.8920044898986816
image1040,127.41957092285156,132.81951904296875,11.18389892578125,13.812896728515625,0.05395662784576416,0.04368710517883301,0.04909114404550331,0.1,0.1,0.1,19.224634,0.28181478,1.9670442342758179
image1041,155.82208251953125,132.36294555664062,21.840789794921875,19.00743865966797,0.074247807264328,0.08531558513641357,0.07997338917017782,0.1,0.1,0.1,22.160755,0.39708927,1.6115611791610718
image1043,46.9235725402832,132.27349853515625,20.218284606933594,15.4417724609375,0.06031942367553711,0.07897767424583435,0.07027056959293156,0.1,0.1,0.1,25.046665,0.8167521,1.5669742822647095
image1045,187.15594482421875,132.49166870117188,44.486663818359375,36.74726104736328,0.14354398846626282,0.1737760305404663,0.15937845747654178,0.1,0.1,0.1,29.615938,0.5790027,0.7876854538917542
image1046,123.97810363769531,132.72666931152344,20.143463134765625,26.22894287109375,0.10245680809020996,0.07868540287017822,0.09134766047599786,0.1,0.1,0.1,30.921717,0.5310394,1.1393687725067139
image1047,120.85786437988281,132.84803771972656,15.929443359375,14.114471435546875,0.05513465404510498,0.062224388122558594,0.05878649740331627,0.1,0.1,0.1,17.646671,0.25198904,2.049318552017212
image1049,130.60983276367188,132.71331787109375,11.075492858886719,9.823982238769531,0.03837493062019348,0.043263643980026245,0.04089240877311536,0.1,0.1,0.1,9.486129,0.1760401,2.9176886081695557
image105,123.34440612792969,132.76380920410156,10.919189453125,9.883209228515625,0.03860628604888916,0.04265308380126953,0.04068003736629782,0.1,0.1,0.1,16.080921,0.22085221,2.714000701904297
image1050,106.43346405029297,132.86793518066406,27.105728149414062,26.24139404296875,0.10250544548034668,0.10588175058364868,0.10420727292224452,0.1,0.1,0.1,32.05074,0.5094004,1.1467822790145874
image1051,120.2000732421875,132.7169189453125,33.63525390625,42.47319793701172,0.16591092944145203,0.13138771057128906,0.1496481991159454,0.1,0.1,0.1,41.028187,0.7265861,0.6830911040306091
image1053,169.81021118164062,132.79299926757812,91.16606903076172,82.76923370361328,0.3233173191547394,0.35611745715141296,0.34011301956364154,0.1,0.1,0.1,31.59283,0.65012115,0.3614283800125122
image1056,124.92240905761719,132.851806640625,21.243438720703125,18.204925537109375,0.0711129903793335,0.08298218250274658,0.07727580479558371,0.1,0.1,0.1,18.128666,0.22321026,1.451250672340393
image1058,108.63907623291016,132.39859008789062,17.161880493164062,15.180999755859375,0.059300780296325684,0.06703859567642212,0.06328805516849087,0.1,0.1,0.1,19.418934,0.27708235,2.0527780055999756
image106,129.44117736816406,132.847900390625,17.1612548828125,14.246757507324219,0.05565139651298523,0.06703615188598633,0.061607319344078475,0.1,0.1,0.1,17.166002,0.24976464,1.8532975912094116
image1061,147.87472534179688,132.8294219970703,37.8934326171875,34.2896728515625,0.13394403457641602,0.14802122116088867,0.14115822029299047,0.1,0.1,0.1,32.72532,0.52653074,0.8528321385383606
image1062,131.0283203125,132.7149658203125,13.864067077636719,11.940185546875,0.04664134979248047,0.05415651202201843,0.05053881332627204,0.1,0.1,0.1,13.341813,0.2155164,2.337202548980713
image1063,154.52719116210938,132.72299194335938,24.963104248046875,23.69721221923828,0.09256723523139954,0.0975121259689331,0.09507183533877508,0.1,0.1,0.1,14.737241,0.2812744,1.169535756111145
image1065,130.96099853515625,133.35951232910156,27.379791259765625,23.03839111328125,0.08999371528625488,0.10695230960845947,0.09883740517032828,0.1,0.1,0.1,21.584452,0.3095298,1.1332740783691406
image1067,127.11414337158203,133.2325439453125,18.377059936523438,18.71887969970703,0.07312062382698059,0.07178539037704468,0.07245608290692887,0.1,0.1,0.1,18.336592,0.2296832,1.2539383172988892
image1068,142.48666381835938,132.63064575195312,27.102783203125,24.15251922607422,0.09434577822685242,0.10587024688720703,0.10027371301888792,0.1,0.1,0.1,25.943827,0.40876088,1.2503995895385742
image1071,125.53433227539062,132.88497924804688,15.11029052734375,12.081428527832031,0.04719308018684387,0.05902457237243652,0.05343728549089517,0.1,0.1,0.1,12.780461,0.17323117,2.1875648498535156
image1072,123.11146545410156,133.01998901367188,44.04034423828125,55.58550262451172,0.2171308696269989,0.17203259468078613,0.19588393014433375,0.1,0.1,0.1,41.329254,0.73238415,0.504225492477417
image1074,77.62322998046875,132.9126739501953,22.459075927734375,18.33978271484375,0.0716397762298584,0.0877307653427124,0.08009040119103615,0.1,0.1,0.1,25.85641,0.46332997,1.625612735748291
image1075,132.97698974609375,132.83322143554688,17.7005615234375,14.20379638671875,0.05548357963562012,0.06914281845092773,0.06268634999950208,0.1,0.1,0.1,19.160002,0.27560952,1.8605939149856567
image1076,119.98957824707031,132.81532287597656,21.970001220703125,18.270172119140625,0.07136785984039307,0.08582031726837158,0.07892559240905939,0.1,0.1,0.1,20.658669,0.27574694,1.5311145782470703
image1077,134.48764038085938,132.64773559570312,19.20917510986328,16.1707763671875,0.06316709518432617,0.07503584027290344,0.0693558189321069,0.1,0.1,0.1,17.689709,0.273283,1.7992748022079468
image1078,237.69729614257812,131.35946655273438,33.2645263671875,48.63519287109375,0.18998122215270996,0.12993955612182617,0.16275311520179045,0.1,0.1,0.1,59.960674,0.99267924,0.6190922856330872
image108,127.46458435058594,132.80503845214844,9.1204833984375,8.130340576171875,0.03175914287567139,0.035626888275146484,0.03374846903466199,0.1,0.1,0.1,13.532481,0.1884976,2.9905953407287598
image1080,128.69976806640625,132.7627410888672,16.51959991455078,12.158477783203125,0.04749405384063721,0.06452968716621399,0.0566558279261136,0.1,0.1,0.1,13.833435,0.19867983,1.9505012035369873
image1081,131.0464630126953,132.80023193359375,13.847747802734375,12.037605285644531,0.04702189564704895,0.05409276485443115,0.05068079458650359,0.1,0.1,0.1,17.55228,0.26225513,2.210357189178467
image1082,127.97906494140625,132.80120849609375,11.928253173828125,9.83416748046875,0.038414716720581055,0.04659473896026611,0.0427010547849689,0.1,0.1,0.1,14.405244,0.19715805,2.348576307296753
image1086,122.1812744140625,132.66690063476562,10.777923583984375,10.035858154296875,0.03920257091522217,0.042101263999938965,0.04067774573864424,0.1,0.1,0.1,16.625803,0.21975702,2.9272820949554443
image1088,132.62594604492188,132.836181640625,17.04004669189453,14.159027099609375,0.05530869960784912,0.06656268239021301,0.061194946438785536,0.1,0.1,0.1,16.783325,0.25896266,2.016601324081421
image1089,5.422407150268555,131.74661254882812,10.827415466308594,41.12432861328125,0.16064190864562988,0.042294591665267944,0.11746202641160812,0.1,0.1,0.1,48.468063,1.0,0.6464331150054932
image109,116.97372436523438,132.70501708984375,14.092575073242188,13.852386474609375,0.05411088466644287,0.055049121379852295,0.05458201903593707,0.1,0.1,0.1,15.424115,0.18334325,2.328772783279419
image1091,134.5756072998047,132.5694580078125,13.21514892578125,11.674591064453125,0.04560387134552002,0.05162167549133301,0.0487058028484863,0.1,0.1,0.1,13.012932,0.19977635,2.600184679031372
image1092,176.88189697265625,132.53907775878906,44.675445556640625,39.129302978515625,0.15284883975982666,0.17451345920562744,0.16403919540743814,0.1,0.1,0.1,24.972158,0.6222061,0.6556338667869568
image1094,123.44087219238281,132.84881591796875,14.526092529296875,12.091217041015625,0.047231316566467285,0.05674254894256592,0.05220399469916711,0.1,0.1,0.1,16.76677,0.22808091,2.2389490604400635
image1096,120.34844970703125,132.8623046875,15.011764526367188,14.155242919921875,0.055293917655944824,0.058639705181121826,0.056991369317955905,0.1,0.1,0.1,20.869116,0.28671148,2.1090590953826904
image1097,11.543588638305664,132.2158660888672,22.73300552368164,27.377960205078125,0.10694515705108643,0.08880080282688141,0.0982925460026858,0.1,0.1,0.1,37.084682,0.99813896,1.0165504217147827
image1099,124.53128051757812,132.85240173339844,18.2979736328125,14.263580322265625,0.0557171106338501,0.07147645950317383,0.0640830737421885,0.1,0.1,0.1,13.885698,0.20562205,1.7784024477005005
image11,80.07432556152344,132.39349365234375,29.84765625,24.936859130859375,0.09740960597991943,0.1165924072265625,0.10743002550508805,0.1,0.1,0.1,27.35059,0.47030106,1.23855459690094
image1100,117.511962890625,132.73953247070312,13.304611206054688,12.233757019042969,0.0477881133556366,0.05197113752365112,0.04992345597809425,0.1,0.1,0.1,14.243902,0.16812424,2.614802837371826
image1101,194.80133056640625,132.4810791015625,21.445648193359375,17.57476043701172,0.06865140795707703,0.08377206325531006,0.07658581590784512,0.1,0.1,0.1,24.163736,0.51040053,1.593226432800293
image1102,122.40548706054688,132.7659912109375,12.562469482421875,10.236869812011719,0.039987772703170776,0.04907214641571045,0.044761018306140966,0.1,0.1,0.1,15.746347,0.21629211,2.6255245208740234
image1103,144.14276123046875,132.6890869140625,36.034027099609375,38.14727783203125,0.14901280403137207,0.14075791835784912,0.14494413983622623,0.1,0.1,0.1,37.668762,0.6244507,0.7659058570861816
image1104,165.39451599121094,132.60963439941406,50.937408447265625,46.065765380859375,0.17994439601898193,0.19897425174713135,0.18969810030277978,0.1,0.1,0.1,22.787897,0.48475814,0.629709005355835
image1108,103.70039367675781,132.81272888183594,31.031280517578125,28.263519287109375,0.110404372215271,0.12121593952178955,0.11593625273916318,0.1,0.1,0.1,20.353638,0.35058168,1.085160732269287
image1109,126.68968200683594,132.3915557861328,12.414764404296875,9.247772216796875,0.03612411022186279,0.04849517345428467,0.04275940357209422,0.1,0.1,0.1,9.494671,0.14243655,2.6110947132110596
image111,40.767478942871094,130.75894165039062,81.53495788574219,93.60882568359375,0.3656594753265381,0.3184959292411804,0.342889565924134,0.1,0.1,0.1,53.807987,0.9287281,0.30617424845695496
image1110,125.46737670898438,132.71055603027344,10.9715576171875,8.282073974609375,0.03235185146331787,0.04285764694213867,0.037969857746122715,0.1,0.1,0.1,9.601785,0.14021769,2.9267826080322266
image1111,107.6055679321289,132.8107147216797,15.276565551757812,14.2237548828125,0.05556154251098633,0.059674084186553955,0.057654493882541666,0.1,0.1,0.1,19.45194,0.27833807,2.2302639484405518
image1113,157.78741455078125,132.47494506835938,19.7501220703125,16.60399627685547,0.06485936045646667,0.0771489143371582,0.07126952933134906,0.1,0.1,0.1,22.738863,0.40863356,1.8437261581420898
image1114,136.49806213378906,132.95623779296875,34.73175048828125,29.75029754638672,0.11621209979057312,0.13567090034484863,0.12631675529817088,0.1,0.1,0.1,20.346218,0.3170822,0.9643932580947876
image1115,121.98148345947266,132.67384338378906,23.972213745117188,20.211822509765625,0.07895243167877197,0.09364145994186401,0.08660891838614218,0.1,0.1,0.1,21.785864,0.3014611,1.2965912818908691
image1117,76.77690124511719,132.093017578125,73.76133728027344,71.411865234375,0.27895259857177734,0.2881302237510681,0.2835785412269304,0.1,0.1,0.1,44.50289,0.77585375,0.3977424204349518
image1123,123.57051086425781,133.7904510498047,78.84750366210938,90.98123168945312,0.35539543628692627,0.30799806118011475,0.3325422693615688,0.1,0.1,0.1,41.775066,0.721934,0.281205415725708
image1124,148.97398376464844,132.6691436767578,30.19964599609375,30.61578369140625,0.11959290504455566,0.11796736717224121,0.11878291681581674,0.1,0.1,0.1,38.26817,0.6687832,0.9756092429161072
image1125,123.46603393554688,132.67559814453125,16.691650390625,13.868598937988281,0.054174214601516724,0.0652017593383789,0.059942117699123165,0.1,0.1,0.1,15.893441,0.2227911,2.008033037185669
image1127,138.50411987304688,132.36370849609375,14.8958740234375,15.213897705078125,0.059429287910461426,0.058187007904052734,0.0588114281002035,0.1,0.1,0.1,12.455482,0.2078718,1.9990326166152954
image1128,58.35533905029297,132.60147094726562,49.09649658203125,41.25323486328125,0.16114544868469238,0.19178318977355957,0.17712798693531182,0.1,0.1,0.1,25.40963,0.7510887,0.6016892194747925
image1129,127.92182922363281,132.79541015625,18.01617431640625,24.13652801513672,0.09428331255912781,0.07037568092346191,0.08319278662409112,0.1,0.1,0.1,31.503534,0.5239758,1.245531678199768
image113,169.0922393798828,132.44308471679688,14.023681640625,12.703887939453125,0.04962456226348877,0.054780006408691406,0.052265888885482205,0.1,0.1,0.1,17.63143,0.33227074,2.0435285568237305
image1130,125.5462646484375,132.71173095703125,17.029266357421875,14.186065673828125,0.05541431903839111,0.0665205717086792,0.06121982201435302,0.1,0.1,0.1,15.316409,0.1945016,1.7758845090866089
image1133,107.05349731445312,132.77293395996094,31.896575927734375,28.2735595703125,0.1104435920715332,0.1245959997177124,0.11773264240498346,0.1,0.1,0.1,29.454054,0.4252637,1.0555914640426636
image1134,128.18130493164062,133.29144287109375,35.71306610107422,39.19318389892578,0.15309837460517883,0.13950416445732117,0.14645907996379562,0.1,0.1,0.1,29.806341,0.44656804,0.6696314811706543
image1135,121.65404510498047,132.97653198242188,30.842849731445312,26.317047119140625,0.10280096530914307,0.12047988176345825,0.1119898218103514,0.1,0.1,0.1,18.483444,0.2337754,1.0701724290847778
image1137,125.50657653808594,132.8155517578125,24.867462158203125,27.99353790283203,0.10934975743293762,0.09713852405548096,0.10342451911012095,0.1,0.1,0.1,26.800655,0.37867606,0.9564104676246643
image1138,128.52822875976562,132.83607482910156,15.2303466796875,14.152557373046875,0.055283427238464355,0.0594935417175293,0.05742707912355451,0.1,0.1,0.1,16.803448,0.24422434,1.869652509689331
image1143,111.54104614257812,128.75198364257812,141.37075805664062,145.75460815429688,0.5693539381027222,0.5522295236587524,0.5608570912600869,0.1,0.1,0.1,34.72357,1.0,0.1550292819738388
image1144,108.4568862915039,132.63902282714844,20.404373168945312,18.774627685546875,0.07333838939666748,0.07970458269119263,0.07658766173893282,0.1,0.1,0.1,15.444724,0.25506884,1.5949593782424927
image1147,121.48851013183594,132.59088134765625,23.07452392578125,18.564910888671875,0.07251918315887451,0.09013485908508301,0.08180258170839767,0.1,0.1,0.1,17.670635,0.24682066,1.4457597732543945
image1149,127.94464874267578,132.12583923339844,10.087234497070312,8.880096435546875,0.03468787670135498,0.03940325975418091,0.037120517704524666,0.1,0.1,0.1,13.763939,0.19512624,2.803682804107666
image1150,126.97271728515625,132.58248901367188,7.873260498046875,7.70257568359375,0.030088186264038086,0.030754923820495605,0.03042338156635401,0.1,0.1,0.1,11.328296,0.14862834,2.8937950134277344
image1151,138.8955535888672,132.75369262695312,18.100433349609375,14.29571533203125,0.05584263801574707,0.07070481777191162,0.06370860019148508,0.1,0.1,0.1,20.401667,0.30994228,1.953862190246582
image1152,131.808837890625,132.88951110839844,11.930412292480469,9.957000732421875,0.03889453411102295,0.04660317301750183,0.042922258322534344,0.1,0.1,0.1,14.253344,0.22238208,2.830410957336426
image1154,119.02959442138672,132.8517303466797,24.133010864257812,22.148162841796875,0.08651626110076904,0.09426957368850708,0.09047600775418119,0.1,0.1,0.1,24.465046,0.35122424,1.2693942785263062
image1155,140.53948974609375,132.02508544921875,81.26067352294922,92.30319213867188,0.360559344291687,0.3174245059490204,0.339677315796206,0.1,0.1,0.1,38.457947,0.86412996,0.2819962203502655
image1156,141.49371337890625,133.28170776367188,45.097991943359375,41.29216766357422,0.1612975299358368,0.17616403102874756,0.16889443299247564,0.1,0.1,0.1,31.755995,0.47607413,0.6929317712783813
image1157,75.68768310546875,132.40565490722656,42.727779388427734,41.009857177734375,0.1601947546005249,0.16690538823604584,0.16358448585325502,0.1,0.1,0.1,43.06209,0.72585183,0.7297495603561401
image1158,128.61996459960938,132.78030395507812,20.90406036376953,22.069580078125,0.08620929718017578,0.08165648579597473,0.08396375584991445,0.1,0.1,0.1,23.918636,0.345765,1.2318850755691528
image1159,93.75333404541016,132.60235595703125,10.559982299804688,9.676322937011719,0.037798136472702026,0.04124993085861206,0.03956169812235871,0.1,0.1,0.1,15.660013,0.2888824,2.890577554702759
image1160,129.9276885986328,132.39854431152344,15.91455078125,12.75933837890625,0.04984116554260254,0.06216621398925781,0.05634172496650819,0.1,0.1,0.1,15.45099,0.2303568,2.0173072814941406
image1163,116.94674682617188,132.472412109375,17.776214599609375,15.024909973144531,0.058691054582595825,0.06943833827972412,0.06428966756433976,0.1,0.1,0.1,20.010798,0.2691738,1.8955323696136475
image1164,119.53614807128906,132.65155029296875,13.166412353515625,12.019660949707031,0.04695180058479309,0.05143129825592041,0.04924251221477036,0.1,0.1,0.1,14.553354,0.20238853,2.4351353645324707
image1166,121.66622924804688,132.67433166503906,12.835479736328125,12.3104248046875,0.04808759689331055,0.05013859272003174,0.049123800010375564,0.1,0.1,0.1,13.084938,0.18488878,2.4628219604492188
image1167,207.4815673828125,131.54344177246094,75.0611572265625,70.98239135742188,0.2772749662399292,0.29320764541625977,0.2853525277914154,0.1,0.1,0.1,51.01376,1.0,0.4112164378166199
image1168,137.05828857421875,132.78872680664062,14.128814697265625,12.073822021484375,0.04716336727142334,0.05519068241119385,0.05133417301073636,0.1,0.1,0.1,17.805536,0.27832076,2.406334638595581
image1169,127.56068420410156,132.72445678710938,15.066986083984375,11.727790832519531,0.04581168293952942,0.058855414390563965,0.0527383641044969,0.1,0.1,0.1,11.332078,0.15951863,2.119112253189087
image117,130.77064514160156,132.81683349609375,12.0736083984375,9.792610168457031,0.03825238347053528,0.047162532806396484,0.042939197371931075,0.1,0.1,0.1,15.958706,0.23409581,2.6721231937408447
image1170,155.26210021972656,131.6790771484375,92.49172973632812,90.38604736328125,0.3530704975128174,0.36129581928253174,0.3572068345125721,0.1,0.1,0.1,40.364594,0.7991508,0.2958140969276428
image1171,81.25038146972656,132.78054809570312,72.59268188476562,64.61139678955078,0.25238826870918274,0.2835651636123657,0.26842973028012973,0.1,0.1,0.1,37.750626,0.59802204,0.4559076130390167
image1173,124.01165771484375,132.779296875,15.819061279296875,14.247314453125,0.05565357208251953,0.06179320812225342,0.058803574107295226,0.1,0.1,0.1,19.607195,0.25692824,1.8577795028686523
image1175,136.01852416992188,132.80413818359375,16.22943115234375,14.275077819824219,0.055762022733688354,0.06339621543884277,0.05970127013439724,0.1,0.1,0.1,15.450713,0.2507205,2.062958002090454
image1177,113.10457611083984,132.9331512451172,39.95603942871094,34.13250732421875,0.1333301067352295,0.1560782790184021,0.14515051936416531,0.1,0.1,0.1,25.49181,0.35991618,0.8541715741157532
image1178,186.394287109375,132.26290893554688,48.77752685546875,45.27558135986328,0.17685773968696594,0.1905372142791748,0.1838247672546477,0.1,0.1,0.1,36.618576,0.7051179,0.6681995987892151
image1179,152.48733520507812,132.81271362304688,28.831329345703125,25.86188507080078,0.10102298855781555,0.11262238025665283,0.10698000923496555,0.1,0.1,0.1,25.859388,0.42871135,1.1989922523498535
image118,124.901123046875,132.86874389648438,12.062286376953125,10.147392272949219,0.039638251066207886,0.047118306159973145,0.04353921062084551,0.1,0.1,0.1,10.39714,0.15491183,2.565598487854004
image1180,52.295799255371094,131.10714721679688,40.77336120605469,40.62885284423828,0.1587064564228058,0.15927094221115112,0.15898894984103737,0.1,0.1,0.1,30.238392,0.9899903,0.6126309037208557
image1181,146.1912384033203,132.46353149414062,19.8206787109375,16.572540283203125,0.06473648548126221,0.07742452621459961,0.07136305000496018,0.1,0.1,0.1,21.659262,0.39820188,1.7999459505081177
image1182,130.4488983154297,132.736328125,15.0198974609375,12.086982727050781,0.047214776277542114,0.05867147445678711,0.053252122088569276,0.1,0.1,0.1,16.125242,0.2401367,2.1090195178985596
image1184,127.03888702392578,132.8694305419922,13.810897827148438,16.165130615234375,0.06314504146575928,0.053948819637298584,0.05872721431317099,0.1,0.1,0.1,21.39839,0.31286573,1.6998345851898193
image1185,130.03099060058594,132.78591918945312,11.87579345703125,10.08917236328125,0.03941082954406738,0.04638981819152832,0.04304200690717491,0.1,0.1,0.1,14.586613,0.22245915,2.674675226211548
image1187,125.38523864746094,132.37890625,10.512298583984375,8.872314453125,0.03465747833251953,0.041063666343688965,0.03799582541513524,0.1,0.1,0.1,12.364673,0.16574883,2.8021020889282227
image1189,128.1294708251953,132.63470458984375,10.71685791015625,8.165679931640625,0.03189718723297119,0.04186272621154785,0.037215039965303245,0.1,0.1,0.1,10.608736,0.14894104,2.9368934631347656
image1190,115.1595687866211,132.7270050048828,24.694503784179688,20.016082763671875,0.07818782329559326,0.0964629054069519,0.08780212933424071,0.1,0.1,0.1,24.048103,0.33575454,1.4146872758865356
image1191,126.52256774902344,132.71246337890625,12.91497802734375,9.894889831542969,0.03865191340446472,0.05044913291931152,0.04493932254794569,0.1,0.1,0.1,10.733622,0.13596204,2.4774303436279297
image1192,232.50621032714844,131.52630615234375,40.948333740234375,38.130615234375,0.14894771575927734,0.15995442867279053,0.1545490881272764,0.1,0.1,0.1,37.803535,0.998499,0.6695699095726013
image1194,208.68643188476562,132.78134155273438,47.6539306640625,37.886932373046875,0.14799582958221436,0.18614816665649414,0.16815752365461045,0.1,0.1,0.1,29.387854,0.7815971,0.6925838589668274
image1196,37.02354431152344,132.6804962158203,31.88823699951172,24.6182861328125,0.09616518020629883,0.12456342577934265,0.11127396129822045,0.1,0.1,0.1,31.48935,0.6814481,1.2372876405715942
image1199,59.779754638671875,132.3816680908203,60.65379333496094,51.595947265625,0.20154666900634766,0.23692888021469116,0.21995039675724812,0.1,0.1,0.1,39.38287,0.68951535,0.5864103436470032
image12,135.44410705566406,132.78414916992188,14.71453857421875,12.028839111328125,0.04698765277862549,0.05747866630554199,0.05249588838141764,0.1,0.1,0.1,18.75827,0.27991378,2.2839527130126953
image1200,146.3291778564453,132.905517578125,65.39382934570312,57.230682373046875,0.22355735301971436,0.25544464588165283,0.240031099233812,0.1,0.1,0.1,30.054243,0.50709254,0.5028086304664612
image1202,55.69114685058594,132.7379913330078,52.026641845703125,44.736083984375,0.17475032806396484,0.20322906970977783,0.18952537024573396,0.1,0.1,0.1,24.792522,0.921391,0.5305488109588623
image1203,126.52253723144531,132.7997589111328,13.096160888671875,11.8785400390625,0.04640054702758789,0.05115687847137451,0.04883665109011047,0.1,0.1,0.1,13.54742,0.17223547,2.0784099102020264
image1206,125.4549560546875,133.14242553710938,29.04949951171875,25.14654541015625,0.09822869300842285,0.11347460746765137,0.10612578072758885,0.1,0.1,0.1,19.191349,0.25062296,1.0125895738601685
image1208,130.45974731445312,133.16714477539062,26.97380828857422,25.37792205810547,0.09913250803947449,0.10536643862724304,0.10229697096978249,0.1,0.1,0.1,23.162529,0.32809648,1.054092526435852
image1209,100.51605224609375,131.66055297851562,36.96307373046875,42.68206787109375,0.16672682762145996,0.14438700675964355,0.15595743452898514,0.1,0.1,0.1,40.6004,0.98819995,0.6177269816398621
image121,128.54380798339844,132.76388549804688,21.118408203125,19.813720703125,0.07739734649658203,0.08249378204345703,0.07998616543048358,0.1,0.1,0.1,20.540491,0.28323692,1.3033220767974854
image1210,107.67784118652344,132.68270874023438,47.024200439453125,50.61273193359375,0.19770598411560059,0.18368828296661377,0.19082589113422327,0.1,0.1,0.1,43.865776,0.719054,0.5574037432670593
image1212,123.15311431884766,132.8597412109375,12.815872192382812,10.03973388671875,0.03921771049499512,0.05006200075149536,0.04496794822822124,0.1,0.1,0.1,14.80007,0.21141988,2.6415910720825195
image1214,115.71818542480469,132.15512084960938,46.816497802734375,58.007781982421875,0.22659289836883545,0.18287694454193115,0.20589841965904201,0.1,0.1,0.1,42.3666,0.8431323,0.48048126697540283
